s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000000000000000e+00,-7.805270157309873724e-01,-1.024519396734240750e+01,1.519262196290596556e+00,6.064314676833174600e-01,4.032333051309309191e+00,-1.370770281522784207e+05
1.996454133113935159e-01,-9.794244884784671923e-01,-1.024782646297617994e+01,1.652804291860267227e+00,7.277797329544521965e-01,3.998194064871900100e+00,-3.837129734552496840e-01
3.992908266227870318e-01,-1.175483722280922905e+00,-1.027843034472141248e+01,1.799216014045193823e+00,7.537596140168962844e-01,3.978987648890111029e+00,-3.149714737281941734e-01
5.989362399341805476e-01,-1.365610088134729061e+00,-1.033815912792808511e+01,1.951210192485745232e+00,7.640111289494444513e-01,3.963152468668411643e+00,-3.149714737281941734e-01
7.985816532455740635e-01,-1.544973447735682015e+00,-1.042644800160567975e+01,2.105051036259290242e+00,7.596759675325478467e-01,3.947253763036397078e+00,-1.488180799203032145e-01
9.982270665569675794e-01,-1.709169605772055567e+00,-1.054120235777778802e+01,2.256191228293532802e+00,7.435023596840356630e-01,3.939719606222910286e+00,1.485516490217728414e-01
1.197872479868361095e+00,-1.854024561632976908e+00,-1.067833981703261692e+01,2.400223376856259527e+00,7.057374152968296510e-01,3.947240287389568891e+00,6.916655886821371224e-01
1.397517893179754722e+00,-1.978273723493846559e+00,-1.083444308515190713e+01,2.536620760083947879e+00,6.569578864503475835e-01,3.982070015838836685e+00,1.264710977311660711e+00
1.597163306491148127e+00,-2.081217587980986217e+00,-1.100602518626403103e+01,2.664437769393124267e+00,6.143027947906247732e-01,4.044980729572441369e+00,1.620745733952404066e+00
1.796808719802541532e+00,-2.162053634747425956e+00,-1.118831486077658433e+01,2.782734999328423164e+00,5.774355333354694864e-01,4.124199074543760446e+00,1.837298682637991343e+00
1.996454133113935159e+00,-2.221781451756771109e+00,-1.137968025451271181e+01,2.893923640623920601e+00,5.348300740853012547e-01,4.212200673782184879e+00,2.154903972917364463e+00
2.196099546425328786e+00,-2.260622625559602028e+00,-1.157627314519296036e+01,2.997766805935427215e+00,4.947260989898956685e-01,4.313127392606204147e+00,2.423520611626933885e+00
2.395744959736722191e+00,-2.279731789973351574e+00,-1.177454695944148710e+01,3.091478607477845308e+00,4.344019323135389632e-01,4.423884882453868350e+00,3.105963431854874557e+00
2.595390373048115595e+00,-2.281927291220643195e+00,-1.197279528441790397e+01,-3.118017563893946686e+00,3.013893205588977220e-01,4.561900937040320514e+00,4.882668312312103964e+00
2.795035786359509444e+00,-2.272349826847082088e+00,-1.217287353415856010e+01,-3.076140630406109633e+00,1.028464813777999060e-01,4.770801277135460872e+00,4.843571962047108492e+00
2.994681199670902849e+00,-2.258582769560554926e+00,-1.237023133188924895e+01,-3.072739133050226723e+00,-5.515751188184995352e-02,4.969359986804144924e+00,4.804788662865316695e+00
3.194326612982296254e+00,-2.246072416435196395e+00,-1.256572206908513856e+01,-3.077087490005864900e+00,7.612522003443777940e-02,5.158783453043302103e+00,4.766315908113771371e+00
3.393972026293689659e+00,-2.230737130045577832e+00,-1.276479892873143918e+01,-3.049238741614849424e+00,1.707446273618839494e-01,5.340055517903298465e+00,4.728151211210771088e+00
3.593617439605083064e+00,-2.208212103972662543e+00,-1.296753048264701214e+01,-3.011809568709401752e+00,1.952847132207793657e-01,5.513991325692428447e+00,4.690292105485069918e+00
3.793262852916476913e+00,-2.179179193373836476e+00,-1.316141860073324388e+01,-2.974418412859735739e+00,1.866738628660705723e-01,5.681275468740519585e+00,4.652736144016463626e+00
3.992908266227870318e+00,-2.141832981308569472e+00,-1.335999507296233269e+01,-2.937236550199493923e+00,1.759181188854050670e-01,5.842489692991752470e+00,4.615480899477667265e+00
4.192553679539264166e+00,-2.098206599249732740e+00,-1.355417964198816350e+01,-2.904732194987142968e+00,1.525134018446250850e-01,5.998133459362919417e+00,4.578523963977347400e+00
4.392199092850657571e+00,-2.048265412407190400e+00,-1.374851809626978572e+01,-2.876188459289766630e+00,1.279298199779604628e-01,6.148639492978730914e+00,4.541862948904729969e+00
4.591844506162050976e+00,-1.993571454409669208e+00,-1.394076267052479956e+01,-2.853599728730774387e+00,9.907509307498758855e-02,6.294385738568404776e+00,4.505495484774892923e+00
4.791489919473444381e+00,-1.934979201005505578e+00,-1.413220495450633862e+01,-2.836606113036707288e+00,6.858969617812006592e-02,6.435704688870855783e+00,4.469419221075773940e+00
4.991135332784837786e+00,-1.873868552146863875e+00,-1.432249115852103571e+01,-2.826161823002309781e+00,3.624427974848865031e-02,6.572890759602006305e+00,4.433631826116430474e+00
5.190780746096231191e+00,-1.811246577527932056e+00,-1.451272841178633755e+01,-2.822069579223556168e+00,4.525175936012664282e-03,6.706206189378057125e+00,4.398130986875954385e+00
5.390426159407624596e+00,-1.748683533671510526e+00,-1.470221259995954277e+01,-2.824384357303717508e+00,-2.798748691875132741e-02,6.835885810324625389e+00,4.362914408854344117e+00
5.590071572719018889e+00,-1.686840375157229177e+00,-1.489306339026347281e+01,-2.832999724897490079e+00,-5.643602604468972439e-02,6.962140943172112628e+00,2.270652411156283357e+00
5.789716986030412293e+00,-1.627671919193866223e+00,-1.508295680682856954e+01,-2.847040628217140323e+00,-8.549254199934749887e-02,7.026952197846310533e+00,-8.087407060604034470e+00
5.989362399341805698e+00,-1.571052136918805076e+00,-1.527609659586659063e+01,-2.866406051133389976e+00,-1.048355378301249058e-01,6.793292996798647287e+00,-7.464534958753537452e+00
6.189007812653199103e+00,-1.519472576842771039e+00,-1.546675427808303560e+01,-2.889025125238844360e+00,-1.251181658350045411e-01,6.570259462632975556e+00,-7.455391138413740570e+00
6.388653225964592508e+00,-1.471441012513510893e+00,-1.566318396924516598e+01,-2.914603094588647636e+00,-1.277044199057545681e-01,6.339671924939391801e+00,-7.656359173846258415e+00
6.588298639275985913e+00,-1.429264771810217383e+00,-1.585703243466209145e+01,-2.940121126213336211e+00,-1.263776457672013964e-01,6.093794067116045099e+00,-8.009724658439864697e+00
6.787944052587379318e+00,-1.391643340520801519e+00,-1.605331336700389855e+01,-2.963719508191967389e+00,-1.084843470949589245e-01,5.825471358828342439e+00,-8.996534179284743971e+00
6.987589465898772723e+00,-1.358591904396917460e+00,-1.624890585901097140e+01,-2.985071178557539007e+00,-1.167333086698266742e-01,5.508528204824095553e+00,-8.623028142977918975e+00
7.187234879210166127e+00,-1.329978866737371535e+00,-1.644564505337925908e+01,-3.009769682445210925e+00,-1.455877907323483988e-01,5.186596856141931333e+00,-4.736335142275666321e+00
7.386880292521560420e+00,-1.307916037033129308e+00,-1.664254210392410016e+01,-3.055694909376276414e+00,-3.104884064480238348e-01,5.000961085033511999e+00,-2.496839864812216536e+00
7.586525705832953825e+00,-1.297794288230825765e+00,-1.684195722357766201e+01,-3.129506530351573446e+00,-4.158099423083709278e-01,4.900270045666254681e+00,-4.777119091715334998e-01
7.786171119144347230e+00,-1.304321275994303919e+00,-1.704254904006236160e+01,3.061508943520500736e+00,-5.037381455431615418e-01,4.880768437178033992e+00,-4.777119091715246180e-01
7.985816532455740635e+00,-1.330340768531692808e+00,-1.723993339178149498e+01,2.960269941346977074e+00,-4.947625519436493757e-01,4.861188594804017882e+00,-1.656971218263983969e-01
