# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.4500,8.9700,0.6780,0.6780
-1.4500,8.7700,0.7000,0.7000
-1.4500,8.5700,0.7000,0.7000
-1.4500,8.3700,0.7149,0.7149
-1.5000,8.1700,0.7000,0.7000
-1.5000,7.9700,0.7000,0.7000
-1.5000,7.7700,0.7000,0.7000
-1.5500,7.5700,0.6500,0.6500
-1.5500,7.3700,0.6780,0.6780
-1.5500,7.1700,0.7000,0.7000
-1.5500,6.9700,0.7000,0.7000
-1.5500,6.7700,0.7066,0.7066
-1.5500,6.5700,0.7000,0.7000
-1.6000,6.3700,0.7000,0.7000
-1.6000,6.1700,0.7149,0.7149
-1.6000,5.9700,0.7500,0.7500
-1.6000,5.7700,0.7500,0.7500
-1.6500,5.5700,0.7262,0.7262
-1.6500,5.3700,0.7500,0.7500
-1.6500,5.1700,0.7500,0.7500
-1.7000,4.9700,0.7066,0.7066
-1.7000,4.7700,0.7500,0.7500
-1.7000,4.5700,0.7262,0.7262
-1.7500,4.3700,0.7406,0.7406
-1.8000,4.1700,0.7000,0.7000
-1.8000,3.9700,0.7000,0.7000
-1.8000,3.7700,0.7017,0.7017
-1.8000,3.5700,0.7000,0.7000
-1.8000,3.3700,0.7000,0.7000
-1.8500,3.1700,0.7149,0.7149
-1.8500,2.9700,0.7500,0.7500
-1.8500,2.7700,0.7500,0.7500
-1.8500,2.5700,0.7500,0.7500
-1.8500,2.3700,0.7500,0.7500
-1.8500,2.1700,0.7639,0.7639
-1.9000,1.9700,0.7882,0.7882
-1.9000,1.7700,0.8015,0.8015
-1.8500,1.5700,0.8841,0.8841
-1.8500,1.3700,0.9052,0.9052
-1.8000,1.1700,0.9500,0.9500
-1.7500,0.9700,1.0000,1.0000
-1.5500,0.7700,1.0000,1.0000
-1.3500,0.7200,0.9500,0.9500
-1.1500,0.6700,0.9000,0.9000
-0.9500,0.6200,0.8624,0.8624
-0.7500,0.6200,0.9000,0.9000
-0.5500,0.6200,0.9000,0.9000
-0.3500,0.5700,0.8624,0.8624
-0.1500,0.5700,0.9000,0.9000
0.0500,0.5700,0.9000,0.9000
0.2500,0.5200,0.9052,0.9052
0.4500,0.5200,0.9000,0.9000
0.6500,0.4700,0.9000,0.9000
0.8500,0.4700,0.9013,0.9013
1.0500,0.4200,0.9000,0.9000
1.2500,0.4200,0.9000,0.9000
1.4500,0.4200,0.9013,0.9013
1.6500,0.4200,0.9000,0.9000
1.8500,0.4200,0.9000,0.9000
2.0500,0.3200,0.9323,0.9323
2.2500,0.2700,0.9118,0.9118
2.4500,0.2200,0.9118,0.9118
2.6500,0.1700,0.9157,0.9157
2.8500,0.1700,0.8624,0.8624
3.0500,0.1200,0.9000,0.9000
3.2500,0.1200,0.9000,0.9000
3.4500,0.1200,0.9000,0.9000
3.6500,0.1200,0.9000,0.9000
3.8500,0.0700,0.9000,0.9000
4.0500,0.0700,0.9000,0.9000
4.2500,0.0700,0.9000,0.9000
4.4500,0.0700,0.9013,0.9013
4.6500,0.0700,0.9013,0.9013
4.8500,0.0700,0.9052,0.9052
5.0500,0.0700,0.9462,0.9462
5.2500,0.0700,0.9500,0.9500
5.4500,0.0700,0.9208,0.9208
5.6500,0.0700,0.9000,0.9000
5.8500,0.0700,0.9000,0.9000
6.0500,0.0700,0.9000,0.9000
6.2500,0.0700,0.9000,0.9000
6.4500,0.0700,0.9000,0.9000
6.6500,0.0700,0.9000,0.9000
6.8500,0.0700,0.9000,0.9000
7.0500,0.0700,0.9000,0.9000
7.2500,0.0700,0.9000,0.9000
7.4500,0.0700,0.9052,0.9052
7.6500,0.0700,0.9013,0.9013
7.8500,0.0700,0.9323,0.9323
8.0500,0.0700,0.9500,0.9500
8.2500,0.0700,0.9462,0.9462
8.4500,0.0700,0.9052,0.9052
8.6500,0.0700,0.9000,0.9000
8.8500,0.0700,0.9000,0.9000
9.0500,0.0700,0.9000,0.9000
9.2500,0.0700,0.9000,0.9000
9.4500,0.0700,0.9000,0.9000
9.6500,0.0700,0.9000,0.9000
9.8500,0.0700,0.9000,0.9000
10.0500,0.0700,0.9000,0.9000
10.2500,0.0700,0.9052,0.9052
