# x_m,y_m,width_right,width_left
-1.0129,-9.6067,1.0430,1.0717
-1.0227,-9.6099,1.0423,1.0698
-1.0325,-9.6132,1.0416,1.0679
-1.0423,-9.6165,1.0411,1.0661
-1.0520,-9.6199,1.0407,1.0642
-1.0617,-9.6235,1.0403,1.0623
-1.0714,-9.6271,1.0401,1.0605
-1.0811,-9.6307,1.0399,1.0587
-1.0907,-9.6345,1.0398,1.0569
-1.1003,-9.6382,1.0397,1.0552
-1.1099,-9.6421,1.0396,1.0535
-1.1195,-9.6459,1.0396,1.0519
-1.1291,-9.6497,1.0395,1.0504
-1.1387,-9.6536,1.0393,1.0490
-1.1482,-9.6574,1.0391,1.0477
-1.1578,-9.6612,1.0388,1.0465
-1.1675,-9.6649,1.0384,1.0455
-1.1771,-9.6687,1.0379,1.0446
-1.1867,-9.6725,1.0374,1.0438
-1.1963,-9.6762,1.0368,1.0431
-1.2059,-9.6800,1.0362,1.0425
-1.2155,-9.6837,1.0355,1.0419
-1.2251,-9.6875,1.0348,1.0414
-1.2347,-9.6913,1.0342,1.0409
-1.2443,-9.6951,1.0335,1.0403
-1.2539,-9.6990,1.0329,1.0398
-1.2635,-9.7029,1.0323,1.0392
-1.2730,-9.7068,1.0317,1.0385
-1.2826,-9.7107,1.0312,1.0379
-1.2921,-9.7147,1.0308,1.0372
-1.3016,-9.7187,1.0304,1.0365
-1.3112,-9.7227,1.0300,1.0358
-1.3207,-9.7267,1.0297,1.0351
-1.3302,-9.7308,1.0295,1.0344
-1.3396,-9.7348,1.0292,1.0337
-1.3491,-9.7389,1.0291,1.0330
-1.3586,-9.7430,1.0290,1.0323
-1.3681,-9.7471,1.0289,1.0317
-1.3776,-9.7512,1.0289,1.0311
-1.3871,-9.7552,1.0289,1.0306
-1.3966,-9.7593,1.0289,1.0301
-1.4061,-9.7633,1.0289,1.0297
-1.4156,-9.7672,1.0289,1.0294
-1.4252,-9.7711,1.0290,1.0292
-1.4348,-9.7750,1.0290,1.0290
-1.4444,-9.7788,1.0290,1.0290
-1.4540,-9.7825,1.0290,1.0290
-1.4636,-9.7862,1.0290,1.0291
-1.4733,-9.7899,1.0290,1.0292
-1.4830,-9.7934,1.0289,1.0295
-1.4927,-9.7969,1.0289,1.0298
-1.5024,-9.8004,1.0288,1.0302
-1.5122,-9.8038,1.0287,1.0306
-1.5219,-9.8072,1.0287,1.0311
-1.5317,-9.8104,1.0286,1.0316
-1.5415,-9.8137,1.0286,1.0322
-1.5513,-9.8169,1.0285,1.0329
-1.5612,-9.8200,1.0285,1.0336
-1.5710,-9.8232,1.0285,1.0344
-1.5809,-9.8262,1.0284,1.0352
-1.5907,-9.8292,1.0284,1.0360
-1.6006,-9.8322,1.0284,1.0369
-1.6105,-9.8352,1.0284,1.0378
-1.6204,-9.8381,1.0285,1.0387
-1.6303,-9.8411,1.0286,1.0397
-1.6402,-9.8440,1.0287,1.0407
-1.6501,-9.8468,1.0288,1.0416
-1.6600,-9.8497,1.0291,1.0426
-1.6699,-9.8526,1.0293,1.0437
-1.6799,-9.8555,1.0296,1.0448
-1.6898,-9.8585,1.0300,1.0460
-1.6996,-9.8614,1.0305,1.0472
-1.7095,-9.8644,1.0310,1.0486
-1.7194,-9.8675,1.0316,1.0499
-1.7292,-9.8705,1.0323,1.0514
-1.7391,-9.8737,1.0331,1.0529
-1.7489,-9.8768,1.0339,1.0544
-1.7587,-9.8800,1.0348,1.0560
-1.7685,-9.8832,1.0357,1.0577
-1.7783,-9.8865,1.0367,1.0595
-1.7881,-9.8897,1.0376,1.0613
-1.7979,-9.8930,1.0385,1.0632
-1.8077,-9.8963,1.0394,1.0652
-1.8175,-9.8996,1.0403,1.0672
-1.8273,-9.9029,1.0411,1.0692
-1.8370,-9.9063,1.0418,1.0714
-1.8468,-9.9097,1.0424,1.0736
-1.8565,-9.9132,1.0430,1.0758
-1.8662,-9.9167,1.0437,1.0780
-1.8758,-9.9204,1.0443,1.0802
-1.8854,-9.9242,1.0451,1.0823
-1.8950,-9.9282,1.0460,1.0844
-1.9044,-9.9324,1.0471,1.0863
-1.9137,-9.9368,1.0485,1.0881
