# x_m,y_m,w_tr_right_m,w_tr_left_m
0.6935,3.0493,1.2500,1.2500
0.6803,2.9501,1.2572,1.2572
0.6653,2.8521,1.2550,1.2550
0.6486,2.7551,1.2501,1.2501
0.6305,2.6589,1.2504,1.2504
0.6112,2.5632,1.2986,1.2986
0.5906,2.4678,1.3075,1.3075
0.5692,2.3724,1.3119,1.3119
0.5468,2.2768,1.3021,1.3021
0.5239,2.1808,1.3500,1.3500
0.5004,2.0842,1.3500,1.3500
0.4769,1.9868,1.3500,1.3500
0.4537,1.8887,1.4000,1.4000
0.4316,1.7899,1.4000,1.4000
0.4109,1.6905,1.4500,1.4500
0.3922,1.5904,1.4500,1.4500
0.3760,1.4897,1.4500,1.4500
0.3629,1.3884,1.4615,1.4615
0.3534,1.2865,1.5009,1.5009
0.3480,1.1841,1.5007,1.5007
0.3472,1.0815,1.5000,1.5000
0.3512,0.9793,1.5000,1.5000
0.3605,0.8781,1.5004,1.5004
0.3754,0.7787,1.4277,1.4277
0.3964,0.6815,1.2764,1.2764
0.4236,0.5874,1.1402,1.1402
0.4576,0.4967,1.0221,1.0221
0.4987,0.4103,0.9243,0.9243
0.5471,0.3288,0.9107,0.9107
0.6029,0.2521,1.0300,1.0300
0.6651,0.1800,1.2034,1.2034
0.7331,0.1118,1.4478,1.4478
0.8059,0.0470,1.5018,1.5018
0.8828,-0.0149,1.4414,1.4414
0.9629,-0.0744,1.4063,1.4063
1.0455,-0.1321,1.4058,1.4058
1.1296,-0.1885,1.3989,1.3989
1.2146,-0.2441,1.3920,1.3920
1.2996,-0.2995,1.3875,1.3875
1.3838,-0.3552,1.3785,1.3785
1.4667,-0.4113,1.3726,1.3726
1.5487,-0.4675,1.3732,1.3732
1.6302,-0.5234,1.3900,1.3900
1.7114,-0.5786,1.3858,1.3858
1.7928,-0.6325,1.4004,1.4004
1.8747,-0.6849,1.3778,1.3778
1.9575,-0.7352,1.3431,1.3431
2.0416,-0.7830,1.3495,1.3495
2.1272,-0.8279,1.3280,1.3280
2.2148,-0.8694,1.2933,1.2933
2.3047,-0.9072,1.2448,1.2448
2.3969,-0.9412,1.2001,1.2001
2.4911,-0.9717,1.1507,1.1507
2.5871,-0.9988,1.1583,1.1583
2.6845,-1.0228,1.1223,1.1223
2.7832,-1.0440,1.1478,1.1478
2.8828,-1.0625,1.1820,1.1820
2.9831,-1.0787,1.2244,1.2244
3.0837,-1.0928,1.2000,1.2000
