x_m,y_m,v_mps,dr_m,dl_m
0.6680478,3.2355252,2.5632213,1.1695872639056817,1.2606127360943185
0.6415656,3.0926973,2.5692753,1.1931313226288347,1.3068686773711653
0.6221135,2.9468952,2.5753294,1.2000531503533418,1.3143468496466584
0.6096849,2.7987326,2.5813835,1.20406642449772,1.29613357550228
0.6042733,2.648823,2.5874376,1.2265853043513852,1.2742146956486147
0.6058722,2.4977799,2.5934917,1.3159700682524744,1.2990299317475258
0.6144749,2.3462168,2.5995458,1.3618818457427102,1.26191815425729
0.6300751,2.1947473,2.6055998,1.4499552381454572,1.250044761854543
0.652666,2.043985,2.6116539,1.5074539080544471,1.192546091945553
0.6826782,1.8924788,2.6233761,1.5720614965433706,1.1279385034566296
0.7198269,1.7419553,2.6379066,1.6918529931991346,1.1081470068008652
0.7634643,1.5940893,2.6524372,1.8145631457819573,1.0854368542180426
0.8131191,1.4495219,2.6669677,1.8883595153153647,1.0116404846846352
0.8683198,1.3088941,2.6814982,1.9726109800771776,0.9503890199228225
0.9285952,1.1728468,2.6960287,2.081370033791518,0.9200299662084817
0.993474,1.0420211,2.7105592,2.1449978129412584,0.8550021870587416
1.0624846,0.9170579,2.7250897,2.128461930084891,0.7269380699151088
1.1415132,0.7887942,2.7663265,1.7657750816768838,0.2784249183231162
1.2310134,0.6593955,2.8335379,2.1877870180375703,0.7078129819624297
1.3249526,0.5384315,2.9007492,2.149599744524264,0.7332002554757364
1.4231725,0.4253255,2.9679605,2.0791123602237493,0.7324876397762505
1.5255151,0.3195007,3.0351719,2.0338951931490374,0.7501048068509621
1.6318224,0.2203802,3.1023832,2.0044187629017314,0.7705812370982688
1.7419361,0.1273874,3.1695946,1.978744482610916,0.7782555173890843
1.8560739,0.039689,3.2013673,1.965324037664562,0.781075962335438
1.9744328,-0.0430575,3.2003398,1.9808007203248754,0.7991992796751244
2.097199,-0.1208516,3.1993124,1.995266356930259,0.8055336430697411
2.2248935,-0.1939466,3.1982849,1.9796913684654331,0.7759086315345668
2.3580375,-0.2625956,3.1972574,1.9579050808877723,0.7410949191122276
2.4971521,-0.3270516,3.1962299,1.8551031687732156,0.6344968312267844
2.6427586,-0.387568,3.1952024,1.7537149343207976,0.5476850656792024
2.7837131,-0.4402705,3.1986555,1.712229551202757,0.5323704487972432
2.9213705,-0.4868631,3.2054427,1.7212202175914217,0.5743797824085781
3.0631802,-0.530336,3.21223,1.7785743215996639,0.670225678400336
3.2083003,-0.5704282,3.2190172,1.7365117894216628,0.6688882105783374
3.3558891,-0.6068783,3.2258044,1.7149463667839377,0.6892536332160623
3.5051047,-0.6394254,3.2325917,1.6423111739732752,0.6576888260267246
3.6551056,-0.6678081,3.2393789,1.6228739127324074,0.6771260872675924
3.8050499,-0.6917654,3.2461661,1.6049934827059662,0.6950065172940337
3.9587174,-0.7115718,3.2568477,1.5794740223644919,0.7011259776355083
4.1141068,-0.7266409,3.2702401,1.5433352322433316,0.6906647677566684
4.267748,-0.7366686,3.2836325,1.4836487372672535,0.6491512627327465
4.4194084,-0.7418245,3.2970249,1.4655687306560279,0.6410312693439719
4.568855,-0.7422784,3.3104173,1.4614869850769212,0.6385130149230789
4.715855,-0.7381997,3.3238098,1.4657027647448648,0.6348972352551352
4.8601756,-0.7297583,3.3372022,1.4738861053829853,0.6261138946170148
5.001646,-0.7171173,3.3506421,1.487277484175395,0.6129225158246051
5.1533423,-0.6985298,3.3744696,1.5068572998019285,0.5931427001980716
5.3018437,-0.6747435,3.3982972,1.531342671852387,0.568657328147613
5.4477387,-0.645407,3.4221247,1.5599619154033757,0.5400380845966243
5.5916154,-0.610169,3.4459523,1.5922029620786722,0.5077970379213279
5.7340623,-0.568678,3.4697798,1.6275640728473733,0.47243592715262683
5.8756678,-0.5205828,3.4936074,1.6644691622850982,0.43553083771490186
6.0160497,-0.4659344,3.5251751,1.7511180609986128,0.4488819390013873
6.1470825,-0.4087002,3.6327567,1.8142730146841373,0.4505269853158629
6.2783291,-0.3458695,3.7403383,1.8860816211507294,0.4815183788492705
6.4097647,-0.2780264,3.84792,1.7651181843794026,0.37948181562059746
6.5413646,-0.2057549,3.9555016,2.100554987778886,0.8112450122211141
6.6731042,-0.1296388,4.0630832,1.9542466666736094,0.7973533333263905
6.8049589,-0.0502622,4.1706648,1.8386447413932756,0.8329552586067245
6.9369038,0.0317909,4.2782464,1.752441929470754,0.9091580705292459
7.0636999,0.1125643,4.2707156,1.6493190223518115,0.9694809776481883
7.1876548,0.1926096,4.1943891,1.5674656316571653,1.0515343683428349
7.3122582,0.2732582,4.1180626,1.5342742858754148,1.1859257141245854
7.4378784,0.3538697,4.0417362,1.4243169125322368,1.2472830874677634
7.5648839,0.4338037,3.9654097,1.356368219765226,1.3542317802347739
7.693643,0.5124198,3.8890832,1.2651247101761178,1.4404752898238822
7.8245241,0.5890777,3.8127567,1.1868470628580463,1.5425529371419537
7.9578956,0.663137,3.7364303,1.095437934878716,1.633962065121284
8.095159,0.7345258,3.6594538,0.9920617670527075,1.7169382329472924
8.2353747,0.8025026,3.5821349,0.8925314404790458,1.8034685595209545
8.3769743,0.8664934,3.5048161,0.8011615824733165,1.8940384175266833
8.5189456,0.9262315,3.4274972,0.807410368442711,2.072389631557289
8.6602765,0.9814502,3.3501783,0.7360979259299334,2.1575020740700666
8.7999549,1.0318828,3.2728594,0.5597750335441054,2.1114249664558944
8.9369684,1.0772626,3.1955406,0.5833223314436335,2.220277668556366
9.070305,1.1173228,3.1182217,0.4808458483642337,2.161954151635766
9.2320648,1.1600828,3.109148,0.48836168749701836,2.1950383125029815
9.39467,1.19681,3.1193395,0.44823319396721717,2.163566806032783
9.5482022,1.2263457,3.129531,0.4604393441944702,2.1761606558055298
9.6924993,1.2503216,3.1397225,0.41246002992564,2.12213997007436
9.827399,1.2703691,3.149914,0.40720555278469284,2.101194447215307
9.9527393,1.2881197,3.1601055,0.43452588419165394,2.101674115808346
10.0964725,1.3084936,3.186778,0.4421564896246538,2.057843510375346
10.2362899,1.3240085,3.2154663,0.4939392205746854,2.041060779425315
10.3778872,1.3290091,3.2441547,0.5347260005124268,1.998473999487573
10.5305978,1.3183555,3.272843,0.5592797236819527,1.9209202763180473
10.6834239,1.2915451,3.3235227,0.4849348938423337,1.7276651061576664
10.7988373,1.2625782,3.4313763,0.4983101386165031,1.6424898613834968
10.9233466,1.2249667,3.5392299,0.5131505662432185,1.5408494337567813
11.0563006,1.1789493,3.6470834,0.5557882105901789,1.453211789409821
11.1970477,1.1247642,3.754937,0.614654176781776,1.3651458232182239
11.3449367,1.0626499,3.8627905,0.6950785629442751,1.284721437055725
11.499316,0.9928449,3.9706441,0.7699044423206753,1.1832955576793247
11.6595343,0.9155875,4.0784976,0.8866477062805942,1.1097522937194058
11.802272,0.8429899,4.1699947,0.9788599836307103,1.0251400163692896
11.9353366,0.7726668,4.2524412,1.072392549232371,0.9482074507676291
12.0700693,0.6995382,4.3348877,1.1806476270250181,0.879952372974982
12.2056034,0.624604,4.4173342,1.277908371447869,0.7970916285521311
12.3410723,0.548864,4.4997807,1.3444167288706452,0.682183271129355
12.4756092,0.4733181,4.5822273,1.4320727844148078,0.5913272155851923
12.6083476,0.398966,4.6646738,1.5167154546658896,0.5032845453341104
12.7384208,0.3268075,4.7471203,1.6521033140031818,0.4770966859968182
12.8649621,0.2578425,4.8295668,1.7621826039378552,0.4386173960621449
12.9871051,0.1930708,4.9120133,1.8865164777222379,0.4316835222777622
13.1475187,0.111813,4.9752139,2.0966692008960264,0.4965307991039737
13.299607,0.0394662,5.0380251,1.7857842957366348,0.11321570426336514
13.44341,-0.0241699,5.1008362,2.0312984232475335,0.42970157675246623
13.5798918,-0.079777,5.1636474,1.9650475802253053,0.4581524197746947
13.7100166,-0.1280367,5.2264585,1.8570319782037623,0.4429680217962375
13.8347485,-0.1696308,5.2892696,1.8155692,0.48443079999999983
13.9555909,-0.2053904,5.3484726,1.7796909655553304,0.5203090344446695
14.0946395,-0.2408616,5.2610132,1.7442837782906562,0.5557162217093436
14.2325842,-0.2698899,5.1735537,1.6937369464538885,0.5624630535461118
14.373167,-0.2935342,5.0860943,1.6635709620692067,0.5784290379307933
14.5201303,-0.3128532,4.9986349,1.6240811738532446,0.5759188261467555
14.6772162,-0.328906,4.9111754,1.608048923560977,0.589751076439023
14.8384104,-0.3420342,4.8261733,1.5582961869211749,0.563103813078825
14.9654344,-0.350809,4.7526159,1.5328266077691073,0.5523733922308927
15.0999454,-0.3589685,4.6790584,1.475655523239972,0.5079444767600281
15.2414277,-0.3665321,4.6055009,1.4453623742006785,0.4886376257993214
15.3893659,-0.373519,4.5319434,1.4270954486569551,0.479304551343045
15.5432444,-0.3799485,4.4583859,1.4204724234060115,0.47952757659398837
15.7025479,-0.38584,4.3848284,1.4227489960556423,0.48665100394435773
15.8667607,-0.3912126,4.3112709,1.416639922595722,0.48336007740427783
16.0353675,-0.3960859,4.2377134,1.4162848700959723,0.48371512990402776
16.1906804,-0.4000726,4.1469814,1.4168519002869526,0.48314809971304734
16.3415691,-0.4036001,4.0494357,1.4181833154698662,0.48181668453013365
16.4939697,-0.4069522,3.9518899,1.42002041176079,0.47997958823921005
16.6471458,-0.4102325,3.8543441,1.422423681868008,0.477576318131992
16.8003607,-0.4135444,3.7567983,1.425167336496656,0.474832663503344
16.952878,-0.4169915,3.6592526,1.4281048976995863,0.4718951023004137
17.1039612,-0.4206773,3.5617068,1.4311730121886954,0.46882698781130444
17.2528736,-0.4247053,3.464161,1.3976598609619106,0.42914013903808945
