# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.6200,-6.7600,0.7382,0.7382
-2.6700,-6.7100,0.7159,0.7159
-2.7200,-6.6600,0.6946,0.6946
-2.7200,-6.6100,0.7106,0.7106
-2.7700,-6.5600,0.6946,0.6946
-2.7700,-6.5100,0.6946,0.6946
-2.8200,-6.4600,0.6801,0.6801
-2.8700,-6.4100,0.6500,0.6500
-2.8700,-6.3600,0.6671,0.6671
-2.8700,-6.3100,0.6708,0.6708
-2.9200,-6.2600,0.6500,0.6500
-2.9200,-6.2100,0.6519,0.6519
-2.9700,-6.1600,0.6083,0.6083
-2.9700,-6.1100,0.6185,0.6185
-2.9700,-6.0600,0.6325,0.6325
-3.0200,-6.0100,0.6000,0.6000
-3.0200,-5.9600,0.6000,0.6000
-3.0200,-5.9100,0.6021,0.6021
-3.0200,-5.8600,0.6083,0.6083
-3.0200,-5.8100,0.6185,0.6185
-3.0200,-5.7600,0.6185,0.6185
-3.0200,-5.7100,0.6083,0.6083
-3.0200,-5.6600,0.6021,0.6021
-3.0200,-5.6100,0.6000,0.6000
-3.0200,-5.5600,0.6000,0.6000
-3.0200,-5.5100,0.6021,0.6021
-3.0200,-5.4600,0.6083,0.6083
-3.0200,-5.4100,0.6021,0.6021
-3.0200,-5.3600,0.6000,0.6000
-3.0200,-5.3100,0.6000,0.6000
-3.0200,-5.2600,0.6000,0.6000
-3.0200,-5.2100,0.6000,0.6000
-3.0200,-5.1600,0.6000,0.6000
-2.9700,-5.1100,0.6325,0.6325
-2.9700,-5.0600,0.6500,0.6500
-2.9700,-5.0100,0.6500,0.6500
-2.9700,-4.9600,0.6500,0.6500
-2.9200,-4.9100,0.6708,0.6708
-2.8700,-4.8600,0.6519,0.6519
-2.8700,-4.8100,0.6519,0.6519
-2.8200,-4.7600,0.6708,0.6708
-2.7700,-4.7100,0.6727,0.6727
-2.7200,-4.6600,0.6708,0.6708
-2.7200,-4.6100,0.6519,0.6519
-2.6700,-4.5600,0.6708,0.6708
-2.6200,-4.5100,0.6727,0.6727
-2.5700,-4.4600,0.6727,0.6727
-2.5700,-4.4100,0.6708,0.6708
-2.5200,-4.3600,0.6801,0.6801
-2.4700,-4.3100,0.6946,0.6946
-2.4200,-4.2600,0.7071,0.7071
-2.3700,-4.2100,0.7071,0.7071
-2.3200,-4.1600,0.7071,0.7071
-2.3200,-4.1100,0.7159,0.7159
-2.2700,-4.0600,0.7382,0.7382
-2.2200,-4.0100,0.7433,0.7433
-2.1700,-3.9600,0.7433,0.7433
