x_m,y_m,v_mps,dr_m,dl_m
-2.4691522,-6.589664,2.0071406,0.511088757012736,0.9653112429872639
-2.5858544,-6.4299972,2.0287976,0.494116828418942,0.895083171581058
-2.6920858,-6.2620694,2.0478149,0.4902334858945323,0.8513665141054676
-2.7785349,-6.0837648,2.0685048,0.46891567031182135,0.8348843296881787
-2.8388345,-5.8959512,2.0964486,0.4209344999999999,0.7832655000000001
-2.8719511,-5.6988636,2.1269326,0.4602510999999999,0.7563489
-2.8779248,-5.498022,2.1589385,0.4600248000000001,0.7441751999999998
-2.8601792,-5.3016675,2.2159736,0.4401792000000001,0.7598207999999999
-2.822253,-5.1059156,2.2859576,0.502177665020795,0.7628223349792049
-2.767855,-4.9141797,2.3738271,0.5363088361352045,0.7674911638647955
-2.7004647,-4.7274564,2.4796329,0.6231596773121756,0.7184403226878243
-2.6220639,-4.5437191,2.5919922,0.6503163934201835,0.6950836065798164
-2.535923,-4.3648318,2.7192765,0.6879426627314964,0.6722573372685037
-2.4432157,-4.1883559,2.8503263,0.7741760078419995,0.6400239921580004
-2.3462429,-4.0146139,2.9879872,0.8242046906889386,0.6521953093110613
-2.246229,-3.842097,3.1320204,0.8367484351179664,0.6396515648820336
-2.1453406,-3.6712079,3.2797606,0.9292146842437843,0.6263853157562158
-2.043677,-3.4989205,3.4247234,0.9565979130776198,0.6246020869223802
-1.9442777,-3.3271587,3.5615812,0.924405109743821,0.627994890256179
-1.8473354,-3.1530633,3.6734633,0.8551944306847553,0.6212055693152446
-1.7545478,-2.9767682,3.6499011,0.8287442437971559,0.603055756202844
-1.6679103,-2.7991623,3.5461913,0.8476071263591295,0.5523928736408704
-1.5872042,-2.6165354,3.4632007,0.7102079036473617,0.5063920963526382
-1.5149419,-2.4312807,3.3899097,0.6796015985634392,0.5287984014365608
-1.4521098,-2.2433519,3.3254845,0.6639864944268075,0.5022135055731924
-1.3991515,-2.0514937,3.2730538,0.6176515,0.45934849999999994
-1.3571711,-1.8571051,3.2307714,0.6371711,0.4628289000000001
-1.3267827,-1.6608881,3.2063526,0.6590827000000001,0.4455172999999999
-1.3082594,-1.4629943,3.2086096,0.6405594000000001,0.4640405999999999
-1.3016661,-1.2644092,3.222217,0.6668661000000001,0.5035339
-1.3067932,-1.065923,3.2400778,0.6207576846500443,0.5496423153499558
-1.3233847,-0.8676571,3.2607067,0.5654517269354802,0.5525482730645199
-1.3510538,-0.670749,3.2818066,0.6177824620419023,0.5526175379580978
-1.3892218,-0.4763196,3.2929225,0.5982694880230877,0.6387305119769124
-1.4378562,-0.2833371,3.3091836,0.600186379657479,0.6368136203425211
-1.4964257,-0.0928538,3.340555,0.5753858115450514,0.6776141884549485
-1.5633694,0.0931743,3.445553,0.488407101851169,0.6819928981488311
-1.6373719,0.2787589,3.567821,0.5129616735927165,0.6954383264072834
-1.7146831,0.4616537,3.6960304,0.4777830999999999,0.6884169
-1.7942804,0.6439268,3.8220789,0.4912575327465556,0.6749424672534443
-1.8753329,0.8265809,3.9466875,0.4914283756262655,0.6487716243737346
