# x_m,y_m,width_inner,width_outer
-70.1091,-62.1498,1.0472,1.0472
-70.2226,-62.1583,1.0472,1.0472
-70.3361,-62.1671,1.0471,1.0471
-70.4496,-62.1762,1.0469,1.0469
-70.5630,-62.1857,1.0468,1.0468
-70.6764,-62.1955,1.0467,1.0467
-70.7898,-62.2056,1.0465,1.0466
-70.9031,-62.2161,1.0464,1.0464
-71.0164,-62.2268,1.0463,1.0463
-71.1297,-62.2379,1.0462,1.0462
-71.2429,-62.2493,1.0460,1.0461
-71.3561,-62.2611,1.0459,1.0460
-71.4693,-62.2731,1.0458,1.0459
-71.5825,-62.2854,1.0458,1.0458
-71.6956,-62.2981,1.0457,1.0457
-71.8087,-62.3109,1.0456,1.0457
-71.9217,-62.3240,1.0456,1.0456
-72.0348,-62.3374,1.0455,1.0456
-72.1478,-62.3509,1.0455,1.0455
-72.2608,-62.3647,1.0455,1.0455
-72.3737,-62.3785,1.0454,1.0454
-72.4867,-62.3926,1.0454,1.0454
-72.5996,-62.4067,1.0454,1.0454
-72.7125,-62.4209,1.0453,1.0453
-72.8254,-62.4353,1.0452,1.0452
-72.9383,-62.4497,1.0451,1.0451
-73.0512,-62.4642,1.0450,1.0450
-73.1641,-62.4787,1.0448,1.0449
-73.2770,-62.4933,1.0446,1.0447
-73.3899,-62.5080,1.0442,1.0444
-73.5027,-62.5228,1.0438,1.0440
-73.6156,-62.5377,1.0432,1.0435
-73.7284,-62.5528,1.0424,1.0429
-73.8412,-62.5681,1.0413,1.0422
-73.9539,-62.5837,1.0400,1.0413
-74.0666,-62.5998,1.0382,1.0402
-74.1792,-62.6164,1.0360,1.0390
-74.2916,-62.6339,1.0331,1.0377
-74.4040,-62.6523,1.0297,1.0363
-74.5161,-62.6720,1.0256,1.0349
-74.6279,-62.6932,1.0212,1.0326
-74.7392,-62.7169,1.0169,1.0302
-74.8500,-62.7431,1.0137,1.0282
-74.9598,-62.7729,1.0097,1.0273
-75.0683,-62.8071,1.0113,1.0276
-75.1750,-62.8468,1.0171,1.0273
-75.2790,-62.8929,1.0191,1.0297
-75.3790,-62.9471,1.0247,1.0329
-75.4738,-63.0102,1.0326,1.0375
-75.5615,-63.0826,1.0413,1.0425
-75.6404,-63.1644,1.0495,1.0466
-75.7089,-63.2552,1.0563,1.0480
-75.7657,-63.3538,1.0611,1.0441
-75.8096,-63.4587,1.0527,1.0377
-75.8402,-63.5682,1.0423,1.0287
-75.8572,-63.6807,1.0303,1.0196
-75.8611,-63.7944,1.0177,1.0115
-75.8527,-63.9079,1.0054,1.0056
-75.8330,-64.0199,0.9945,1.0024
-75.8031,-64.1297,0.9861,0.9999
-75.7647,-64.2368,0.9819,1.0011
-75.7193,-64.3412,0.9834,1.0019
-75.6679,-64.4427,0.9798,1.0055
