s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.000000,-1.450000,8.970000,-1.570796,0.000000,3.471952,5.058266,0.678000,0.678000
0.200000,-1.450000,8.770000,-1.570796,0.000000,3.471954,-5.447770,0.700000,0.700000
0.400000,-1.450000,8.570000,-1.570796,0.000000,3.142508,-0.196459,0.700000,0.700000
0.600000,-1.450000,8.370000,-1.815775,-1.224893,3.129979,-0.196459,0.714900,0.714900
0.806155,-1.500000,8.170000,-1.570796,1.188321,3.117401,0.256789,0.700000,0.700000
1.006155,-1.500000,7.970000,-1.570796,0.000000,3.134336,-0.068233,0.700000,0.700000
1.206155,-1.500000,7.770000,-1.815775,-1.224893,3.129979,-0.196459,0.700000,0.700000
1.412311,-1.550000,7.570000,-1.570796,1.188321,3.117401,0.256789,0.650000,0.650000
1.612311,-1.550000,7.370000,-1.570796,0.000000,3.134336,5.102993,0.678000,0.678000
1.812311,-1.550000,7.170000,-1.570796,0.000000,3.444599,5.062060,0.700000,0.700000
2.012311,-1.550000,6.970000,-1.570796,0.000000,3.726941,-10.036827,0.700000,0.700000
2.212311,-1.550000,6.770000,-1.570796,0.000000,3.142508,-0.196459,0.706600,0.706600
2.412311,-1.550000,6.570000,-1.815775,-1.224893,3.129979,-0.196459,0.700000,0.700000
2.618466,-1.600000,6.370000,-1.570796,1.188321,3.117401,0.256789,0.700000,0.700000
2.818466,-1.600000,6.170000,-1.570796,0.000000,3.134336,0.128226,0.714900,0.714900
3.018466,-1.600000,5.970000,-1.570796,0.000000,3.142508,-0.196459,0.750000,0.750000
3.218466,-1.600000,5.770000,-1.815775,-1.224893,3.129979,-0.196459,0.750000,0.750000
3.424621,-1.650000,5.570000,-1.570796,1.188321,3.117401,0.256789,0.726200,0.726200
3.624621,-1.650000,5.370000,-1.570796,0.000000,3.134336,-0.068233,0.750000,0.750000
3.824621,-1.650000,5.170000,-1.815775,-1.224893,3.129979,-0.196459,0.750000,0.750000
4.030776,-1.700000,4.970000,-1.570796,1.188321,3.117401,0.256789,0.706600,0.706600
4.230776,-1.700000,4.770000,-1.570796,0.000000,3.134336,-0.068233,0.750000,0.750000
4.430776,-1.700000,4.570000,-1.815775,-1.224893,3.129979,-0.196459,0.726200,0.726200
4.636932,-1.750000,4.370000,-1.815775,0.000000,3.117401,0.921861,0.740600,0.740600
4.843087,-1.800000,4.170000,-1.570796,1.188321,3.177779,-0.202506,0.700000,0.700000
5.043087,-1.800000,3.970000,-1.570796,0.000000,3.164615,5.099169,0.700000,0.700000
5.243087,-1.800000,3.770000,-1.570796,0.000000,3.471952,-5.447745,0.701700,0.701700
5.443087,-1.800000,3.570000,-1.570796,0.000000,3.142508,-0.196459,0.700000,0.700000
5.643087,-1.800000,3.370000,-1.815775,-1.224893,3.129979,-0.196459,0.700000,0.700000
5.849242,-1.850000,3.170000,-1.570796,1.188321,3.117401,0.256789,0.714900,0.714900
6.049242,-1.850000,2.970000,-1.570796,0.000000,3.134336,5.102993,0.750000,0.750000
6.249242,-1.850000,2.770000,-1.570796,0.000000,3.444599,5.062060,0.750000,0.750000
6.449242,-1.850000,2.570000,-1.570796,0.000000,3.726941,-11.876744,0.750000,0.750000
6.649242,-1.850000,2.370000,-1.570796,0.000000,3.023142,-1.908067,0.750000,0.750000
6.849242,-1.850000,2.170000,-1.815775,-1.224893,2.894160,-1.121708,0.763900,0.763900
7.055398,-1.900000,1.970000,-1.570796,1.188321,2.815578,-2.040766,0.788200,0.788200
7.255398,-1.900000,1.770000,-1.325818,1.224893,2.661963,-2.240125,0.801500,0.801500
7.461553,-1.850000,1.570000,-1.570796,-1.188321,2.487971,-3.386831,0.884100,0.884100
7.661553,-1.850000,1.370000,-1.325818,1.224893,2.189423,-0.445128,0.905200,0.905200
7.867708,-1.800000,1.170000,-1.325818,0.000000,2.148377,-0.091798,0.950000,0.950000
8.073863,-1.750000,0.970000,-0.785398,2.621420,2.139550,-0.091798,1.000000,1.000000
8.356706,-1.550000,0.770000,-0.244979,1.910671,2.130686,3.234851,1.000000,1.000000
8.562861,-1.350000,0.720000,-0.244979,0.000000,2.523833,5.172265,0.950000,0.950000
8.769017,-1.150000,0.670000,-0.244979,-0.000000,2.915872,3.617170,0.900000,0.900000
8.975172,-0.950000,0.620000,0.000000,1.188321,3.161283,-0.287046,0.862400,0.862400
9.175172,-0.750000,0.620000,0.000000,0.000000,3.142508,-0.196459,0.900000,0.900000
9.375172,-0.550000,0.620000,-0.244979,-1.224893,3.129979,-0.196459,0.900000,0.900000
9.581327,-0.350000,0.570000,0.000000,1.188321,3.117401,0.256789,0.862400,0.862400
9.781327,-0.150000,0.570000,0.000000,0.000000,3.134336,-0.068233,0.900000,0.900000
9.981327,0.050000,0.570000,-0.244979,-1.224893,3.129979,-0.196459,0.900000,0.900000
