s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2;w_tr_right_m;w_tr_left_m
0.000000;11.165300;-0.555800;-0.054952;2.433262;1.720172;-0.059338;1.110200;1.110200
0.071007;11.236200;-0.559700;-0.042288;0.178345;1.720172;5.240662;1.128100;1.128100
0.141971;11.307100;-0.562700;-0.033838;0.119080;1.924380;5.225737;1.140200;1.140200
0.212911;11.378000;-0.565100;-0.025382;0.119186;2.108296;5.210864;1.128100;1.128100
0.283834;11.448900;-0.566900;-0.019744;0.079507;2.276892;5.196038;1.118000;1.118000
0.354748;11.519800;-0.568300;-0.014103;0.079535;2.433366;5.181258;1.110200;1.110200
0.425655;11.590700;-0.569300;-0.009859;0.059861;2.579945;5.166522;1.101100;1.101100
0.496658;11.661700;-0.570000;-0.007052;0.039530;2.718235;5.151829;1.100000;1.100000
0.567560;11.732600;-0.570500;-0.004225;0.039868;2.849631;5.137158;1.100000;1.100000
0.638561;11.803600;-0.570800;-0.004231;-0.000084;2.974704;5.122549;1.100000;1.100000
0.709461;11.874500;-0.571100;-0.002817;0.019949;3.094556;5.107962;1.100000;1.100000
0.780462;11.945500;-0.571300;-0.002821;-0.000056;3.209453;5.093437;1.100000;1.100000
0.851362;12.016400;-0.571500;-0.001410;0.019893;3.320220;5.078933;1.100000;1.100000
0.922262;12.087300;-0.571600;-0.002817;-0.019837;3.426960;5.064491;1.100000;1.100000
0.993262;12.158300;-0.571800;-0.001410;0.019809;3.530184;5.050090;1.100000;1.100000
1.064162;12.229200;-0.571900;-0.001408;0.000028;3.630333;5.035709;1.100000;1.100000
1.135162;12.300200;-0.572000;-0.001410;-0.000028;3.727383;5.021389;1.100000;1.100000
1.206063;12.371100;-0.572100;-0.001408;0.000028;3.821835;5.007091;1.092000;1.092000
1.277063;12.442100;-0.572200;-0.002821;-0.019893;3.913621;4.992852;1.068900;1.068900
1.347963;12.513000;-0.572400;-0.001408;0.019921;4.003175;4.978635;1.060700;1.060700
1.418963;12.584000;-0.572500;-0.001410;-0.000028;4.090402;4.964478;1.051200;1.051200
1.489863;12.654900;-0.572600;-0.001410;0.000000;4.175685;4.950341;1.050000;1.050000
1.560763;12.725800;-0.572700;-0.001408;0.000028;4.258908;4.936264;1.030800;1.030800
1.631763;12.796800;-0.572800;-0.002821;-0.019893;4.340307;4.922227;1.019800;1.019800
1.702663;12.867700;-0.573000;-0.001408;0.019921;4.420093;4.908211;1.011200;1.011200
1.773664;12.938700;-0.573100;-0.001410;-0.000028;4.498134;4.894254;1.001200;1.001200
1.844564;13.009600;-0.573200;-0.001408;0.000028;4.574734;4.880317;1.000000;1.000000
1.915564;13.080600;-0.573300;-0.001410;-0.000028;4.649755;4.866439;1.000000;1.000000
1.986464;13.151500;-0.573400;-0.002821;-0.019893;4.723479;4.852582;1.000000;1.000000
2.057364;13.222400;-0.573600;-0.001408;0.019921;4.795764;4.838783;1.000000;1.000000
2.128364;13.293400;-0.573700;-0.001410;-0.000028;4.866775;4.825023;1.000000;1.000000
2.199264;13.364300;-0.573800;-0.001408;0.000028;4.936664;4.811284;1.000000;1.000000
2.270264;13.435300;-0.573900;-0.001410;-0.000028;5.005286;4.797602;1.000000;1.000000
2.341164;13.506200;-0.574000;-0.002817;-0.019837;5.072884;4.783941;1.000000;1.000000
2.412165;13.577200;-0.574200;-0.001410;0.019809;5.139311;4.770337;1.000000;1.000000
2.483065;13.648100;-0.574300;-0.001408;0.000028;5.204796;4.756753;1.000000;1.000000
2.554065;13.719100;-0.574400;-0.001410;-0.000028;5.269195;4.743227;1.000000;1.000000
2.624965;13.790000;-0.574500;-0.001410;0.000000;5.332725;4.729720;1.000000;1.000000
2.695865;13.860900;-0.574600;-0.002817;-0.019837;5.395241;4.716271;1.000000;1.000000
2.766865;13.931900;-0.574800;-0.001410;0.019809;5.456867;4.702860;1.000000;1.000000
2.837765;14.002800;-0.574900;-0.001408;0.000028;5.517717;4.689468;1.000000;1.000000
2.908765;14.073800;-0.575000;-0.001410;-0.000028;5.577649;4.676133;1.050000;1.050000
2.979665;14.144700;-0.575100;-0.001408;0.000028;5.636859;4.662817;1.050000;1.050000
3.050665;14.215700;-0.575200;-0.002821;-0.019893;5.695206;4.649558;1.050000;1.050000
3.121566;14.286600;-0.575400;-0.001408;0.019921;5.752878;4.636318;1.050000;1.050000
3.192566;14.357600;-0.575500;-0.001410;-0.000028;5.809737;4.623134;1.050000;1.050000
3.263466;14.428500;-0.575600;-0.001410;0.000000;5.865963;4.609969;1.050000;1.050000
3.334366;14.499400;-0.575700;-0.001408;0.000028;5.921420;4.596861;1.050000;1.050000
3.405366;14.570400;-0.575800;-0.002821;-0.019893;5.976208;4.583789;1.051200;1.051200
3.476266;14.641300;-0.576000;-0.001408;0.019921;6.030419;4.570736;1.060700;1.060700
3.547266;14.712300;-0.576100;-0.001410;-0.000028;6.083920;4.557739;1.068900;1.068900
3.618166;14.783200;-0.576200;-0.001408;0.000028;6.136879;4.544760;1.092000;1.092000
3.689167;14.854200;-0.576300;-0.001410;-0.000028;6.189163;4.531837;1.100000;1.100000
3.760067;14.925100;-0.576400;-0.002821;-0.019893;6.240934;4.518932;1.092000;1.092000
3.830967;14.996000;-0.576600;-0.001408;0.019921;6.292062;4.506082;1.079400;1.079400
3.901967;15.067000;-0.576700;-0.001410;-0.000028;6.342634;4.493269;1.068900;1.068900
3.972867;15.137900;-0.576800;-0.001408;0.000028;6.392734;4.480474;1.054800;1.054800
